,CASE_ID,ACTIVITY,RESOURCE,VALUE,TKIN_TIME
0,LOT002_11,STEP_059,STEP_059/EQP_134_81,73.8,2017-09-11 1:07
1,LOT002_11,STEP_061,STEP_061/EQP_193_118,73.8,2017-09-11 6:14
2,LOT002_11,STEP_082,STEP_082/EQP_239_51,73.8,2017-09-19 9:18
3,LOT002_11,STEP_101,STEP_101/EQP_226_54,73.8,2017-09-25 3:50
4,LOT003_11,STEP_057,STEP_057/EQP_132_44,73.8,2017-09-04 22:10
5,LOT003_11,STEP_059,STEP_059/EQP_129_45,73.8,2017-09-05 22:49
6,LOT003_11,STEP_061,STEP_061/EQP_195_47,73.8,2017-09-06 5:57
7,LOT003_11,STEP_082,STEP_082/EQP_242_23,73.8,2017-09-21 23:34
8,LOT003_11,STEP_101,STEP_101/EQP_236_24,73.8,2017-10-02 17:23
9,LOT003_20,STEP_057,STEP_057/EQP_132_39,40.0,2017-09-04 22:10
10,LOT003_20,STEP_059,STEP_059/EQP_129_40,40.0,2017-09-05 22:49
11,LOT003_20,STEP_061,STEP_061/EQP_195_52,40.0,2017-09-06 5:57
12,LOT003_20,STEP_082,STEP_082/EQP_242_17,40.0,2017-09-21 23:34
13,LOT003_20,STEP_101,STEP_101/EQP_236_29,40.0,2017-10-02 17:23
14,LOT004_10,STEP_043,STEP_043/EQP_030_106,40.0,2017-08-29 1:25
15,LOT004_10,STEP_057,STEP_057/EQP_132_123,40.0,2017-09-04 22:10
16,LOT004_10,STEP_059,STEP_059/EQP_129_123,40.0,2017-09-05 22:49
17,LOT004_10,STEP_061,STEP_061/EQP_193_51,40.0,2017-09-06 6:54
18,LOT004_10,STEP_082,STEP_082/EQP_240_19,40.0,2017-09-20 5:23
19,LOT004_10,STEP_101,STEP_101/EQP_236_52,40.0,2017-09-27 3:59
20,LOT005_11,STEP_017,STEP_017/EQP_188_17,73.8,2017-08-20 16:29
21,LOT005_11,STEP_018,STEP_018/EQP_026_84,73.8,2017-08-20 22:43
22,LOT005_11,STEP_020,STEP_020/EQP_029_64,73.8,2017-08-21 9:09
23,LOT005_11,STEP_021,STEP_021/EQP_213_119,73.8,2017-08-21 14:03
24,LOT005_11,STEP_022,STEP_022/EQP_064_24,73.8,2017-08-22 3:21
25,LOT005_11,STEP_043,STEP_043/EQP_043_21,73.8,2017-08-26 9:37
26,LOT005_11,STEP_057,STEP_057/EQP_128_118,73.8,2017-09-02 12:01
27,LOT005_11,STEP_059,STEP_059/EQP_134_94,73.8,2017-09-05 11:37
28,LOT005_11,STEP_061,STEP_061/EQP_207_73,73.8,2017-09-05 17:44
29,LOT005_11,STEP_082,STEP_082/EQP_243_14,73.8,2017-09-20 2:55
30,LOT005_11,STEP_101,STEP_101/EQP_226_25,73.8,2017-09-27 21:45
31,LOT005_12,STEP_017,STEP_017/EQP_188_16,40.0,2017-08-20 16:29
32,LOT005_12,STEP_018,STEP_018/EQP_026_83,40.0,2017-08-20 22:43
33,LOT005_12,STEP_020,STEP_020/EQP_029_63,40.0,2017-08-21 9:09
34,LOT005_12,STEP_021,STEP_021/EQP_213_118,40.0,2017-08-21 14:03
35,LOT005_12,STEP_022,STEP_022/EQP_064_25,40.0,2017-08-22 3:21
36,LOT005_12,STEP_043,STEP_043/EQP_043_20,40.0,2017-08-26 9:37
37,LOT005_12,STEP_057,STEP_057/EQP_128_119,40.0,2017-09-02 12:01
