RESOURCE,count,mean,std,normality_p_value,Normality,kruskal_p_value,KRUSKAL,LC_p_value,LCresult
STEP_001/EQP_232_EX1,994.0,7.440643863179075,1.4854100745432042,0.0,False,1.2703619462337344e-63,False,5.744351309259898e-17,WOW
STEP_001/EQP_232_EX2,990.0,7.627272727272727,1.3526230504640786,0.0,False,1.2703619462337344e-63,False,1.0,DUMMY
STEP_001/EQP_233_EX1,870.0,7.529885057471264,1.827019741962577,0.0,False,1.2703619462337344e-63,False,1.390811987976163e-07,DUMMY
STEP_001/EQP_233_EX2,872.0,7.444954128440367,2.081396962599552,0.0,False,1.2703619462337344e-63,False,3.429063340131144e-10,WOW
STEP_001/EQP_234_EX1,763.0,7.62778505897772,1.3947271140866946,0.0,False,1.2703619462337344e-63,False,1.0,DUMMY
STEP_001/EQP_234_EX2,767.0,7.625814863102999,1.1981321765213868,0.0,False,1.2703619462337344e-63,False,1.0,DUMMY
STEP_001/EQP_235_EX1,509.0,7.915520628683693,1.3452800158078224,0.0,False,1.2703619462337344e-63,False,1.0,DUMMY
STEP_001/EQP_235_EX2,505.0,7.938613861386139,1.2918371851370107,0.0,False,1.2703619462337344e-63,False,1.0,DUMMY
STEP_001/EQP_236_EX1,986.0,8.170385395537526,1.5639904882250946,0.0,False,1.2703619462337344e-63,False,1.171058281391025e-25,BOB
STEP_001/EQP_236_EX2,995.0,8.020100502512562,1.67704288165545,0.0,False,1.2703619462337344e-63,False,5.956534383403165e-11,BOB
STEP_001/EQP_237_EX1,1197.0,7.860484544695071,1.2649444179112173,0.0,False,1.2703619462337344e-63,False,1.0,DUMMY
STEP_001/EQP_237_EX2,1189.0,7.784693019343987,1.8831347470504798,0.0,False,1.2703619462337344e-63,False,1.0,DUMMY
STEP_001/EQP_240_EX1,804.0,7.879353233830845,1.6037383412204007,0.0,False,1.2703619462337344e-63,False,1.0,DUMMY
STEP_001/EQP_240_EX2,801.0,7.952559300873908,1.8588293538653613,0.0,False,1.2703619462337344e-63,False,4.54923527444892e-07,DUMMY
STEP_002/EQP_128_2,348.0,7.660919540229885,1.4464390396849989,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_128_3,13.0,7.538461538461538,0.6602252917735248,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_128_4,326.0,7.576687116564417,1.8158132927452728,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_133_2,342.0,7.824561403508772,1.1117523145145793,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_133_3,394.0,7.850253807106599,1.1658466488781793,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_133_4,405.0,7.807407407407408,1.2397877670677102,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_134_2,775.0,7.534193548387097,1.9070262681192474,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_134_3,796.0,7.60929648241206,1.9878534315805918,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_134_4,627.0,7.807017543859649,1.426388188141644,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_136_2,1318.0,7.9165402124430955,1.759844729675174,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_136_3,138.0,8.53623188405797,1.4607238496086115,0.0,False,5.563084703851166e-21,False,1.8880975919517643e-10,BOB
STEP_002/EQP_136_4,338.0,8.002958579881657,2.3600263046238865,0.0,False,5.563084703851166e-21,False,1.3798489060208496e-06,DUMMY
STEP_002/EQP_137_2,833.0,7.668667466986795,2.1078357192478188,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_137_3,1008.0,7.938492063492063,1.5060904187631237,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_137_4,703.0,7.731152204836415,1.2438955024278489,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_140_2,369.0,7.7560975609756095,1.7163288524016682,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_140_3,338.0,7.736686390532545,1.2700207815741666,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_140_4,380.0,7.771052631578947,1.1475355938597787,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_143_2,280.0,7.689285714285714,1.123180100494325,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_143_3,685.0,7.754744525547445,1.4021688923828113,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_143_4,574.0,7.714285714285714,1.2582314363996208,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_145_2,399.0,7.829573934837093,1.4651830519772304,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_145_3,292.0,7.773972602739726,1.7596881477277968,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_145_4,425.0,7.649411764705882,1.1923125944879023,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_174_2,46.0,7.826086956521739,3.013335898421379,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_174_3,35.0,7.628571428571429,0.87735277919413,0.0,False,5.563084703851166e-21,False,1.0,DUMMY
STEP_002/EQP_174_4,55.0,7.454545454545454,0.9966273091110804,0.0,False,5.563084703851166e-21,False,0.0060269100159034,DUMMY
STEP_003/EQP_128_2,876.0,7.756849315068493,1.531836956676372,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_128_3,491.0,7.60285132382892,1.3074012298485376,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_128_4,903.0,7.682170542635659,1.332596179801581,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_133_2,24.0,7.625,0.8242255917447338,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_133_3,659.0,7.675265553869499,1.1462286704389664,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_133_4,668.0,7.782934131736527,1.2555874814965504,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_134_2,307.0,7.530944625407166,2.253868153594256,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_134_3,379.0,7.757255936675461,1.321042103248769,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_134_4,372.0,7.653225806451613,1.317788444907487,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_136_2,137.0,7.642335766423358,1.0199280992346547,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_136_3,118.0,7.915254237288136,1.1290739809547787,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_136_4,122.0,7.975409836065574,1.1603869029468368,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_137_2,464.0,7.543103448275862,1.7383601983881631,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_137_3,783.0,7.7011494252873565,1.1319974003822506,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_137_4,172.0,8.401162790697674,1.3536171326358377,0.0,False,6.14017603961825e-41,False,1.5592941652763248e-09,BOB
STEP_003/EQP_140_2,386.0,7.577720207253886,1.382796332847344,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_140_3,479.0,8.060542797494781,1.6333631006490996,0.0,False,6.14017603961825e-41,False,3.046191524201552e-07,DUMMY
STEP_003/EQP_140_4,601.0,7.976705490848586,1.416376760653677,0.0,False,6.14017603961825e-41,False,1.0,DUMMY
STEP_003/EQP_143_2,897.0,8.068004459308806,1.6156502063459792,0.0,False,6.14017603961825e-41,False,3.317695600797595e-15,BOB
